id;cliente;nacionalidad;comentario_completo;tipo de habitacion;noches;fecha_alojamiento;tipo_cliente;fecha de comentario
e0d10b395df7ba24;Ana;España;Excepcional.;Habitación Doble Superior - 2 camas;1 noche;junio de 2023;En pareja;2023-06-09
d392386ab6dab685;Jordi;España;Excepcional.;Habitación Doble Superior;3 noches;junio de 2023;En familia;2023-06-09
0ea01189f8510902;Pedro;España;Bien en general.En general me gusto todo, hubo una incidencia con la reserva, yo creí la tenía con desayuno y figuraba en la misma al precio de 12 € y al recibir el servicio me dijeron no tenía reservado y pretendían cobrarme 14 & más IVA.;Habitación Doble Superior - 2 camas;1 noche;junio de 2023;En pareja;2023-06-08
89899009b79327d2;Jero;España;Muy bien.;Habitación Doble Superior - 2 camas;2 noches;junio de 2023;En grupo;2023-06-08
f18daf089397c94f;Javier;España;Bien.;Habitación Doble Superior - 2 camas;1 noche;junio de 2023;Persona que viaja sola;2023-06-07
32e09b6ce7e531b8;Helene;Canadá;le déjeuner inclus.;Habitación Doble Superior - 2 camas;1 noche;junio de 2023;En familia;2023-06-07
125cbb3ecdebf5b4;Aguilar;España;Muy bien.Esquisto trato personal, mucha limpieza y muy bien situado, habitación estupenda y la cama de maravilla.Lo que menos nos gustó, fue un arroz con pollo que pedimos para comer.;Habitación Doble Superior - 2 camas;2 noches;junio de 2023;En pareja;2023-06-07
e4add4e08450e45b;Rocio;España;Muy bien.El parking.;Habitación Doble Superior - 2 camas;3 noches;abril de 2023;En familia;2023-06-07
74bf17f3a3b9ef5b;Noelia;España;"recomendado. trato excelente.Todo genial. Muy amable el personal y muy bien las instalaciones. 
El personal nos ayudó y nos dio muchísimas recomendaciones de la zona. Trato excelente.-.";Habitación Doble Superior - 2 camas;2 noches;junio de 2023;En pareja;2023-06-07
8c18e68b005bf6f6;Marianna;Suiza;Agradable.;Habitación Doble Superior - 2 camas;1 noche;junio de 2023;En pareja;2023-06-07
b748f96553564015;Muñoz;España;Fantástico.;Habitación Doble Superior - 2 camas;3 noches;junio de 2023;En pareja;2023-06-07
cbd442938882f359;Júlio;Brasil;Excepcional.;Habitación Doble Superior - 2 camas;1 noche;mayo de 2023;En pareja;2023-06-06
38d9d3f2a3d795d2;Konstantinos;Grecia;Fantástico.;Habitación Doble Superior - 2 camas;2 noches;junio de 2023;En pareja;2023-06-06
937db74305759a3b;Rosario;España;Excepcional.Habitación y baño muy amplio.El ruido de la calle a pesar de ser ventanas climalit.;Habitación Doble Superior - 2 camas;2 noches;junio de 2023;En pareja;2023-06-06
59486bee038ef653;Manuel_1;Italia;Muy bien.;Habitación Doble Superior - 2 camas;3 noches;mayo de 2023;En pareja;2023-06-06
c645d5644601f805;María;España;"A un paso de todo.No desayunamos en el hotel porque teníamos una visita muy temprano, y los sábados el desayuno es a partir de las 8:00.Las vistas nunca me preocupan en un hotel.La ubicación me parece perfecta.No me gustan los inodoros ""colgados"", y por seguridad sería preferible ducha en lugar de bañera.";Habitación Doble Superior - 2 camas;1 noche;junio de 2023;En familia;2023-06-06
104076c06f74331c;Jam;España;Fantástico.Pasamos un fin de semana en mayo. Habitación espaciosa, personal amable tanto en recepción como en comedor-cafetería, y buena relación calidad-precio.Nada.;Habitación Doble Superior - 2 camas;3 noches;mayo de 2023;En grupo;2023-06-06
196f83db92970c1b;Ulderico;Italia;L'albergo è  posizionato bene, molto vicino alla spiaggia. Camminando a piedi per una ventina di minuti si raggiunge il centro monumentale.;Habitación Doble Superior;1 noche;junio de 2023;En pareja;2023-06-05
