id;cliente;nacionalidad;comentario_completo;tipo de habitacion;noches;fecha_alojamiento;tipo_cliente;fecha de comentario
f53ee7b547b1506c;Markus;Alemania;The rooms are quite modern and clean. There is also a very nice terrace at the rooftop. The room was quite quiet regardless the construction site next to it.;Habitación Doble con baño privado;1 noche;septiembre de 2023;En pareja;2023-09-27
99d1f0ffba95822d;Mari;Finlandia;Erinomainen sijainti, kävellen pääsi kaikkialle. Henkilökunta ystävällistä ja auttavaista. Huoneen plussana oli jääkaappi ja vedenkeitin, joten pienen aamiaisen pystyi laittamaan itse.;Habitación Doble con baño privado en planta baja exterior;6 noches;septiembre de 2023;En pareja;2023-09-26
5e047daa092184c5;Francisco;España;Aceptable.;Habitación Doble con baño privado en planta baja exterior;1 noche;septiembre de 2023;En pareja;2023-09-25
779038f59e8904ba;Rosa;España;Muy bien.;Habitación Doble con baño privado en planta baja exterior;1 noche;septiembre de 2023;En pareja;2023-09-25
e661484607824e40;Jomcat;España;"Fantástico.Atención del personal; sobre todo la limpieza de toda la habitación y zonas comunes (aún había un ligero olor a productos de limpieza); nevera. La habitación era tranquila; Ubicación.La habitación es justa de espacio, pero es lo que  anunciaba.";Habitación Doble con baño privado;2 noches;septiembre de 2023;En pareja;2023-09-25
3eacfcb210a0ddfd;Beatrice;Italia;Molto carino e silenzioso, non si arriva con la macchina ma si può lasciare in alcuni parcheggi a pagamento vicino al porto. Mario ci ha fornito tutte le indicazioni.;Habitación Doble interior con baño privado - 2 camas;1 noche;septiembre de 2023;En pareja;2023-09-25
f0016031bb47e017;Ansgar;Alemania;Die Zentrale Lage, ruhig, tolles Ambiente, perfekt für einen Kurzaufenthalt.;Habitación Doble con baño privado;1 noche;septiembre de 2023;En pareja;2023-09-25
3437c70dca47918c;Paweł;Polonia;Fantástico.;Habitación Doble con baño privado;1 noche;septiembre de 2023;En pareja;2023-09-24
6d3d6f79b9a751f7;Diane;Francia;Le concept des chambres, on sent bien l’univers marin recherche dans la conception du lieu. L’emplacement est parfait et permet de faire l’ensemble des activités a pieds. Les nombreuses informations disponibles au rez-de-chaussée permettant de découvrir au mieux la ville et les environs afin de faciliter le séjour.;Habitación Doble interior con baño privado - 2 camas;2 noches;septiembre de 2023;En grupo;2023-09-24
4badab00f32c6d52;Lydia;España;Excepcional.;Habitación Doble con baño privado;1 noche;septiembre de 2023;En pareja;2023-09-24
78409de69323434e;Matteo;Italia;Camera molto carina e ben arredata. Molto pulita. Zona centrale. Check in automatizzato.;Habitación Doble con baño privado en planta baja exterior;1 noche;septiembre de 2023;En pareja;2023-09-24
fafa1c33e6b630d2;Rcatalao;Portugal;Estadia muito agradável.A localização é excelente, a cama bastante confortável e a casa de banho muito agradável e funcional. Para além disso a rececão é feita de forma muito prática e o rececionista esteve disponível para todas as questões.;Habitación Doble con baño privado;1 noche;septiembre de 2023;En pareja;2023-09-23
4c3df4b3e7aa4e4c;Emer;Reino Unido;Location was great. Staff were friendly and helpful. Room waa clean and spacious.;Habitación Doble interior con baño privado - 2 camas;2 noches;septiembre de 2023;En pareja;2023-09-23
4e1d7aa443f3f209;Elena;Italia;La grandezza della camera, il bagno con l'umidificatore, il set doccia fornito, la possibilità di entrare e uscire h 24 dalla struttura in maniera autonoma senza dover passare dalla reception, la terrazza solarium aperta a tutti.;Habitación Doble con baño privado;2 noches;septiembre de 2023;En familia;2023-09-21
48359ed5cc0de44a;Mariluz;España;Perfecto.La ubicación perfecta y el personal excelente.;Habitación Doble con baño privado en planta baja exterior;2 noches;septiembre de 2023;En familia;2023-09-20
d6a004041c84993a;Stella;Italia;La posizione, Mario il receptionist veramente gentile e simpatico.;Habitación Doble con baño privado;1 noche;septiembre de 2023;En pareja;2023-09-20
3f0c2922d8cff790;Julie;Francia;Fantástico.;Habitación Doble interior con baño privado - 2 camas;1 noche;septiembre de 2023;Persona que viaja sola;2023-09-20
3069d99cf04103c1;Ciro;Italia;Muy confortable. Muy buena la relación precio calidad.;Habitación Doble con baño privado;3 noches;septiembre de 2023;En pareja;2023-09-20
54226ba27669f8da;Tonynogues;Francia;L’emplacement de l’hôtel est stratégiquement bien situé,  proche des rues commerçantes.;Habitación Doble con baño privado;1 noche;septiembre de 2023;En pareja;2023-09-19
9214cf8a1decd4f9;Darius5;Polonia;A highly recommended place to spend a nice time in the center of Cadiz, next to all the city's attractions. A clean, stylish and comfortable apartment with a bathroom, TV, fridge and well-functioning air conditioning (please follow the service instructions). A built-in balcony with a table and chairs overlooking the street of Cadiz added comfort and charm. The hotel does not serve breakfast, but there are many bars and cafes nearby. The service is very helpful and nice. Parking lots are on the outskirts of the old town and 800 m from the hotel. We will definitely come back.;Habitación Doble con baño privado - 2 camas y 1 cama supletoria;2 noches;septiembre de 2023;En grupo;2023-09-19
e443fd595f3df71a;Aidan;Irlanda;Muy bien.;Habitación Doble con baño privado - 2 camas y 1 cama supletoria;4 noches;septiembre de 2023;Persona que viaja sola;2023-09-18
