id;cliente;nacionalidad;comentario_completo;tipo de habitacion;noches;fecha_alojamiento;tipo_cliente;fecha de comentario
453adac54c86fceb;Alexandrine;México;"Accueil parfait, en plein centre , literie correcte
Une douche dans la chambre 
Très bien pour le prix.";Habitación Doble con ducha - 2 camas;1 noche;enero de 2024;En familia;2024-01-10
95317c09e383baf4;Marion;Irlanda;Comfortable and worth the cost.;Habitación Individual con baño compartido;1 noche;enero de 2024;Persona que viaja sola;2024-01-09
61f0ea2ce4ea723f;María;España;Excepcional.;Habitación Doble con ducha;3 noches;enero de 2024;En pareja;2024-01-08
85e331c7211fbfc7;Eva;España;Bien.El sitio muy limpio, muy bonito y cuidado, con detalles que no se esperan por ese precio. La atención también muy amable y la ubicación excelente.Las camas muy muy incómodas, no pudimos pegar ojo por qué los colchones o somieres estaban totalmente vencidos y al tumbarte casi rozabas el suelo con el trasero.. una pena por qué todo lo demás estaba de 10.;Habitación Doble con baño compartido - 2 camas;1 noche;enero de 2024;En grupo;2024-01-08
71d9a034bad389cf;Гусев;España;соотношение цена-качество! Локация!!.;Habitación Doble con baño compartido - 2 camas;1 noche;enero de 2024;En pareja;2024-01-08
b345f4cea0b0b768;Erica;San Marino;Ci siamo trovati veramente bene ad alloggiare qui! La posizione è centrale e in pochissimi minuti si raggiungono tutti i punti di interesse. Inoltre la struttura, e in particolare i bagni, erano pulitissimi. Consigliato!.;Habitación Doble con baño compartido;1 noche;enero de 2024;En pareja;2024-01-07
f42c689e7c69a5c9;Marike;Países Bajos;Pro actieve host. Fijne keuken.;Habitación Doble con baño compartido;1 noche;enero de 2024;En pareja;2024-01-06
b1ba4fd418f1f669;Gianluca;Italia;Bien.;Habitación Doble con baño compartido;1 noche;octubre de 2023;En pareja;2024-01-05
ef5a8ab278529d7b;Anna;España;Muy bien.;Habitación Doble con baño privado - 2 camas;1 noche;enero de 2024;En familia;2024-01-05
18787f5bbe7aea22;Lorena;España;Pésimo.La ubicación excelente, en pleno centro. Tuve un error en la reserva y rocío me solucionó el problema, encantadora.El dormitorio olía muchísimo a humedad, cogimos una habitación y el baño estaba fuera, solo el Bater. Lo peor la cama.. super super incómoda, las almohadas como papel de finas, nos levantamos con dolor por todo el cuerpo. Y se escuchaba todo, todas las personas que abrían las puertas, andaban, hablaban, etc. Al principio tuve un problema y me equivoqué al hacer la reserva de día, inmediatamente mandé un correo, un mensaje e intenté que me lo cambiarán, cuando llame la muchacha me dijo que no había solución que perdía el dinero, fue un chasco. Al rato me llamó diciéndome que me habían encontrado una solución. Solo por eso valió la pena ya que nos hubiéramos quedado sin ir o sin dinero.;Habitación Doble con ducha;1 noche;enero de 2024;En pareja;2024-01-04
745ba5cc3cba52a0;Natalia;Ucrania;"Excepcional.¡En el mismo centro!
Personal tranquilo, acogedor y agradable. A todos les gustó. ¡Gracias!
​.Un poco incómodo sin ventana..";Habitación Doble con baño privado - 2 camas;1 noche;enero de 2024;En familia;2024-01-04
63bbea758d7cfefd;Vigo;España;Aceptable.;Habitación Doble con ducha - 2 camas;2 noches;enero de 2024;En pareja;2024-01-03
1ea44c6d2477f0d7;Giuseppe;Italia;5 estrellas.todo fue maravilloso, seguro volveré otra vez <3.;Habitación Doble con baño compartido - 2 camas;1 noche;diciembre de 2023;Persona que viaja sola;2024-01-03
d24acd4078649220;Isabel;España;Fantástico.;Habitación Doble con ducha - 2 camas;1 noche;diciembre de 2023;En pareja;2024-01-02
8bd74d44be5863cb;Janneke;Países Bajos;The pension is located in the middle of the city, so all highlights are easy to visit. Both the room and shared bathroom were clean.;Habitación Individual con baño compartido;2 noches;enero de 2024;Persona que viaja sola;2024-01-02
6d0e1759958e3383;Manuel;España;Muy bien.;Habitación Individual con baño compartido;7 noches;noviembre de 2023;Persona que viaja sola;2024-01-02
be27ce3f5534f8a7;Pili;España;Muy bien.;Habitación Doble con baño compartido - 2 camas;2 noches;enero de 2024;En familia;2024-01-02
13a08a645a67b9bc;Thomas;Alemania;Muy bien.;Habitación Doble con ducha - 2 camas;2 noches;octubre de 2023;En pareja;2024-01-01
9e9aedd5b06a0aeb;Matt;Reino Unido;Friendly staff. Full Kitchen. Hot shower. Free coffee. Felt safe. Free hairdryers/ iron/ straighteners. Good aircon/heater. Clean bathrooms.;Habitación Doble con baño compartido;2 noches;diciembre de 2023;En pareja;2023-12-31
ea00599d5c8852ad;Trinkitty;España;"Great location, although a little difficult to find using Maps. The staff were really great and assisted me through the check in progress, even though I arrived outside reception hours. My card also had problems and they were very understanding and patient as I had to go to the bank to get it sorted the next day. No hassle. 
The room has no window, except one facing the corridor. Tiled flooring. There is a shower and sink but no toilet in some rooms, so beware if you want to have both. Generally quiet. The kitchen is well equipped with a toaster, microwave and fridge. There's also a coffee station with complimentary tea and coffee pods to prepare.";Habitación Doble con ducha;2 noches;diciembre de 2023;Persona que viaja sola;2023-12-31
ab888509d1cd5502;Greg;Estados Unidos;"I got an email saying that they would be open at 5:30 but I couldn’t get hold of anybody on the phone until almost 630.
Overall the property appeared clean, but the grout lines in my shower had black mold on them. For a person that might have respiratory issues that can be quite dangerous to be breathing that air that is exposed to black mold.";Habitación Doble con ducha - 2 camas;1 noche;diciembre de 2023;Persona que viaja sola;2023-12-24
265ad37a5546db0e;Noe;Argentina;Excepcional.Me encanto el lugar, el staff súper amable, limpio, hermosa ubicación y el precio súper bien también! Muchas gracias por todo y felices fiestas!.;Habitación Individual con baño compartido;1 noche;diciembre de 2023;Persona que viaja sola;2023-12-23
362f531c3fdb413f;Ondet;Francia;Décoration soignée.;Habitación Doble con ducha;1 noche;octubre de 2023;En pareja;2023-12-23
2127f5cecf4f5cc0;Ana;España;Excepcional.;Habitación Doble con baño compartido;1 noche;diciembre de 2023;En pareja;2023-12-23
3a59f50d9e78ef8a;Doina;Rumanía;Fantástico.;Habitación Individual con baño compartido;2 noches;diciembre de 2023;Persona que viaja sola;2023-12-22
b2ced02a01106688;Eva;España;"Muy bien.La ubicación perfecta.
La amabilidad de la recepción.No hay mucha intimidad, se escucha todo.";Habitación Doble con baño privado - 2 camas;1 noche;diciembre de 2023;En familia;2023-12-21
363efbe6c9a0e75f;Julio;España;Muy bien.;Habitación Doble con ducha - 2 camas;1 noche;diciembre de 2023;En familia;2023-12-21
5754448b1a5e2840;Michael;Australia;No hot water at 8am, it did come on after 10am, no window in the room, the smell of the room was horrible !!.;Habitación Doble con ducha - 2 camas;1 noche;noviembre de 2023;Persona que viaja sola;2023-12-18
3c7bf9c369a2d842;Carolina;España;Excepcional.;Habitación Doble con baño compartido - 2 camas;1 noche;diciembre de 2023;En familia;2023-12-17
b02bdf85666c280a;Marilena;Italia;Fantástico.;Habitación Individual con baño compartido;1 noche;diciembre de 2023;Persona que viaja sola;2023-12-17
7152a2fbf5fa163e;Flor;España;Agradable.La almohada, la ubicación.Se oía todo lo de las otras habitaciones y pasillos.;Habitación Doble con baño privado - 2 camas;1 noche;diciembre de 2023;En pareja;2023-12-17
2e46307624f2bb6b;Cheng;Taiwán;Fantástico.;Habitación Doble con baño compartido;1 noche;noviembre de 2023;En pareja;2023-12-16
43680a541e7fbe31;Dana;Alemania;Fantástico.;Habitación Doble con baño compartido;1 noche;noviembre de 2023;En pareja;2023-12-16
2bf4f5f4238f64dd;Ramon;España;Fantástico.;Habitación Individual con baño compartido;2 noches;diciembre de 2023;Persona que viaja sola;2023-12-14
3197d90e36b2ddff;Irene;España;Aceptable.La ubicación.Que no tenga wc en el cuarto.;Habitación Doble con ducha;1 noche;diciembre de 2023;En familia;2023-12-14
64e962f176640927;Víctor;España;Excepcional.;Habitación Doble con ducha - 2 camas;1 noche;diciembre de 2023;En familia;2023-12-12
86e3c166d85a3533;Silvia;España;Excepcional.;Habitación Doble con baño compartido - 2 camas;2 noches;diciembre de 2023;En pareja;2023-12-12
d3ea0ae8f097349a;Emilio;España;Fantástico.;Habitación Individual con baño compartido;1 noche;diciembre de 2023;Persona que viaja sola;2023-12-11
25db7080cde35579;Isabel;España;Buen precio calidad.Estaba muy céntrico, la habitación y baño estaba muy limpios, amabilidad del personal.Solo dos cositas que tampoco fue muy malo q no iba la calefacción pero gracias a dios no hizo tanto frío y las almohadas muy finas.;Habitación Doble con baño compartido;1 noche;diciembre de 2023;En pareja;2023-12-11
1eeb221b71a1d55d;Lucía;España;Excepcional.;Habitación Individual con baño compartido;1 noche;diciembre de 2023;Persona que viaja sola;2023-12-10
194c9f59e9faa083;Manuel;España;Buena relación-calidad precio.La ubicación.No habia cobertura en la habitación.;Habitación Doble con baño privado - 2 camas;1 noche;diciembre de 2023;En pareja;2023-12-10
6e60bcbfc320f1b2;Chari;España;Aceptable.;Habitación Individual con baño compartido;1 noche;diciembre de 2023;Persona que viaja sola;2023-12-09
60f7d3fe092de951;Gwladys;Francia;Très bon accueil et disponibilité en amont. Idéalement situé, confort nécessaire pour quelques nuit. J’y suis restée juste une, la douche dans la chambre et la cuisine avec possibilité de prendre un café était un vrai plus! Propre et pratique pour découvrir Cadiz!.;Habitación Individual con baño compartido;1 noche;diciembre de 2023;Persona que viaja sola;2023-12-09
0ab1183d6bbda1d9;Joaquin;España;Fantástico.Localización y amabilidad del staff.;Habitación Doble con baño compartido - 2 camas;1 noche;diciembre de 2023;En pareja;2023-12-09
9ba946d667aac229;Andrea;España;Mal.La localización.La habitación olía muchísimo. Se oye absolutamente todo, no se puede descansar.;Habitación Doble con ducha;1 noche;diciembre de 2023;En familia;2023-12-08
a919b3c5b9de3314;Alice;Australia;Agradable.;Habitación Doble con baño compartido;1 noche;diciembre de 2023;En pareja;2023-12-08
32f95349d03698b4;Fouad;España;Fantástico.;Habitación Individual con baño compartido;3 noches;diciembre de 2023;Persona que viaja sola;2023-12-07
c8ad31baee702940;Angela;Italia;Muy bien.;Habitación Individual con baño compartido;3 noches;noviembre de 2023;Persona que viaja sola;2023-12-06
e43583421442355a;Joaquin;España;Bien.;Habitación Individual con baño compartido;1 noche;diciembre de 2023;Persona que viaja sola;2023-12-06
cdd724d6d4af323e;Mohamed;España;Muy bien.Esta limpio.Sin ascensor.;Habitación Doble con ducha - 2 camas;1 noche;diciembre de 2023;En pareja;2023-12-05
59ff4d932eab3073;Rocío;España;Bien.La ubicación es perfecta.Uno de los colchones fue bastante incómodo. Muchos mosquitos.;Habitación Doble con ducha - 2 camas;1 noche;diciembre de 2023;En pareja;2023-12-04
fbedbfc769d7fb9c;Vivian;Portugal;Excepcional.;Habitación Doble con ducha - 2 camas;1 noche;noviembre de 2023;En grupo;2023-12-04
5bfa2c587c72f443;Fco;España;Excepcional.La ubicación,el trato de su personal.;Habitación Doble con baño compartido - 2 camas;1 noche;noviembre de 2023;En familia;2023-12-04
500db306f00e9c46;Maria;España;Pagas por la localización porque por el alojamiento en sí no merece ese precio.Céntrico, personal amable y limpio.Habitación sin ventana, y manta demasiado pequeña para una cama de matrimonio. Almohadas muy finas. Mosquitos en la habitación. El agua caliente se cortaba si se duchaban en otra habitación.;Habitación Doble con ducha;1 noche;diciembre de 2023;En pareja;2023-12-03
2e437e6595ef279f;Giorgio;Italia;Bien.;Habitación Individual con baño compartido;3 noches;noviembre de 2023;Persona que viaja sola;2023-12-03
a276d90c75528aad;Anónimo;España;volveré.la atención.muy bien.;;1 noche;noviembre de 2023;Persona que viaja sola;2023-11-30
dedd64c2d8b012cd;Katarzyna;Polonia;Muy bien.;Habitación Doble con ducha - 2 camas;1 noche;noviembre de 2023;En familia;2023-11-30
16f89fd45a7310e4;Simon;España;Decepcionante.Lo que no me gustó y supongo que a todos los clientes lo mismo es que en la web cuelgan unas fotos de unas habitaciones que realmente no existen.;Habitación Doble con baño compartido;4 noches;noviembre de 2023;En pareja;2023-11-29
89bc01c2df151a01;Cristina;España;Buen sitio para una persona y una noche.La localización, al lado de Palillero, super céntrico. Estaba decorado con buen gusto, muy cute, a pesar de no estar reformado era resultón.No había ventanas en ningún lado, ni en la habitación ni fuera. Bastante claustrofóbico.;Habitación Individual con baño compartido;1 noche;noviembre de 2023;Persona que viaja sola;2023-11-29
d1316d4b7f4bb8b7;Laura;España;Bien.;Habitación Doble con baño compartido;1 noche;octubre de 2023;En familia;2023-11-29
75b66993346af2e4;Janko;Eslovenia;Bien.;Habitación Doble con baño compartido - 2 camas;1 noche;noviembre de 2023;En grupo;2023-11-29
bfbe72a757be371e;Murillo;Colombia;Un lugar muy bien ubicado y la atención buena.La ubicación de la pensión, el servicio y el costo muy favorables.Que en algunas habitaciones el baño es compartido.;Habitación Doble con ducha;1 noche;noviembre de 2023;Persona que viaja sola;2023-11-29
d65becf134f0eb5d;Karolina;Polonia;Lokalizacja. Dostępna kawa, herbata,kako, muffinki i crosainty na śniadanie. Dostępna wspólną kuchnią i suszarka, prostownica, żelazko.;Habitación Doble con ducha - 2 camas;1 noche;noviembre de 2023;En pareja;2023-11-28
e2b982db9140d2df;Natalia;España;Coqueto y minimalista.Limpieza, coqueto y minimalista en muy buena ubicación.;Habitación Doble con baño compartido - 2 camas;1 noche;noviembre de 2023;En pareja;2023-11-26
2bdf92102e4c9ed7;Mario;España;Económico, calidad y estupenda atención.Económico, limpio y atención 10000 , muchas gracias a la chica que me atendió super genial a eso le llamo tener vocación en tu trabajo.Todo bien.;Habitación Individual con baño compartido;1 noche;noviembre de 2023;Persona que viaja sola;2023-11-24
