id;cliente;nacionalidad;comentario_completo;tipo de habitacion;noches;fecha_alojamiento;tipo_cliente;fecha de comentario
8106fef693cebef1;Jose;España;Fantástico.;Estudio;3 noches;junio de 2023;En familia;2023-06-14
9ce8c4fc2e7c922b;Gregorio;España;Fantástico.;Habitación Doble Estándar;1 noche;junio de 2023;En pareja;2023-06-14
f789ce40d0ecaa3e;Daniel;España;Fantástico.;Estudio;3 noches;junio de 2023;En familia;2023-06-14
6016b5a7393a89d5;Isabel;España;Excepcional.Estaba todo perfecto.;Habitación Doble Estándar;2 noches;junio de 2023;En grupo;2023-06-13
03d73977de1483b5;Tuğçe;Turquía;Excepcional.;Habitación Doble Estándar;1 noche;junio de 2023;En familia;2023-06-13
7eaa968e4674dc9b;Alejandro;Italia;todo bien.;Habitación Doble Estándar;1 noche;junio de 2023;En pareja;2023-06-13
1d52eb3f94edc2fb;Tilman;Alemania;Excepcional.;Habitación Doble con terraza y vistas al mar;4 noches;junio de 2023;En familia;2023-06-13
14d82cbc0cac7f55;Víctor;España;EXCELENTE UBICACIÓN Y AMABILIDAD DE SUS EMPLEADOS.UBICACION, LIMPIEZA, HABITACIÓN AMPLIA, AMABILIDAD DE EMPLEADOS.PRECIO CARO POR EL JUSTO EQUIPAMIENTO DEL APARTAMENTO (BAJA CALIDAD Y ESTADO DEL MOBILIARIO, TELEVISIÓN, MENAJE, ETC).;Apartamento de 1 dormitorio (2 adultos);3 noches;junio de 2023;En pareja;2023-06-13
79629aec19fa619f;Anónimo;Reino Unido;clean and comfortable.;;1 noche;junio de 2023;En grupo;2023-06-13
213da63912cd7d37;Dalmacio;España;Excepcional.;Apartamento de 2 dormitorios;1 noche;junio de 2023;En familia;2023-06-13
a4b8057a24d01150;Sascha;Países Bajos;Mooie kamer, fijne locatie en dakterras. Dichtbij strand.;Habitación Doble Estándar;2 noches;junio de 2023;En pareja;2023-06-13
b679a775e54407e3;David;España;excelente.comodidad.todo estaba bien nuevo.;Habitación Doble Estándar;3 noches;junio de 2023;En pareja;2023-06-13
77a5897c7ecfafb4;Crescenzo;Italia;Excepcional.;Habitación Doble para uso individual;1 noche;junio de 2023;Persona que viaja sola;2023-06-13
8dcf7d012c847cfa;Rocio;España;Fantástico.;Estudio;2 noches;junio de 2023;En familia;2023-06-13
9789d1d09ba2cdbe;Mattia;Italia;Excepcional.;Habitación Doble Superior;1 noche;junio de 2023;En pareja;2023-06-13
b197988bca3a5791;Caraballo;España;Fantástico.Todo.El aire al llegar a una temperatura se apagaba.;Estudio;2 noches;junio de 2023;En pareja;2023-06-13
1c7b49decc55b441;Igor;Rusia;"It's fantastic for Spain. Totally renovated building for the hotel purposes for adequate price! In 100 m from La Caleta beach.
Big room with small balcony, comfortable big bed, spacious bathroom with shower, teapot and cups.
Everything new, clean and comfortable.
Very friendly and helpful staff.
Thank you very much!.";Habitación Doble Estándar;1 noche;junio de 2023;Persona que viaja sola;2023-06-13
e121d83c29c64d25;Zoran;Croacia;Assigned room was destined to people with handicap, not the one advertised on booking.com.. The smell inside the room was weird. We booked the facility having in mind the available parking which was advertised. When we came, the parking was full. And we had to search for one on our own.;Habitación Doble Estándar;1 noche;junio de 2023;En familia;2023-06-12
c4eeb4db46bfa835;Luis;Portugal;Da localização, do espaço.;Apartamento de 2 dormitorios;1 noche;junio de 2023;En familia;2023-06-12
f759850637616f48;Roberto;Italia;posizione centrale con reception aperta anche di sera.;Habitación Doble Estándar;1 noche;junio de 2023;En pareja;2023-06-12
8b51183ebb5b4de1;Elias;Argentina;Aceptable.Nunca funciono bien el wifi.;Habitación Doble para uso individual;1 noche;junio de 2023;En familia;2023-06-12
46dff1ea610121c0;Federico;Italia;Cádiz fue una sorpresa.Limpieza, dimensión de la abitacion y la cama.Nada.;Estudio;2 noches;junio de 2023;En familia;2023-06-12
ddd111ed77ba6c8d;Anabela;Portugal;Muy bien.;Habitación Doble Estándar;2 noches;junio de 2023;En pareja;2023-06-12
